block,config,seed,n_train_steps,condition,fit_before,fit_after,delta,v_mean,cross_e_frac_end,wall_sec
long_duration_confirm,structural_n500000,0,500000,structural,-0.0002585904148872942,-0.00017871767340693623,7.987274148035794e-05,0.5731009244918823,0.50634765625,20.305312687007245
long_duration_confirm,structural_n500000,1,500000,structural,-0.0002678088203538209,-0.00017960766854230314,8.820115181151778e-05,0.6838347911834717,0.5032958984375,20.398193679982796
long_duration_confirm,structural_n500000,2,500000,structural,-0.0002715807349886745,-0.00012618687469512224,0.00014539386029355228,1.6243789196014404,0.578125,20.21545552898897
long_duration_confirm,structural_n500000,3,500000,structural,-0.0002791685692500323,-0.0001857415190897882,9.342705016024411e-05,0.4914000630378723,0.408203125,20.40561378694838
long_duration_confirm,structural_n500000,4,500000,structural,-0.00026649280334822834,-0.00016748534108046442,9.900746226776391e-05,1.0730822086334229,0.5860595703125,20.269224534975365
long_duration_confirm,structural_n500000,5,500000,structural,-0.00027622285415418446,-0.00020100496476516128,7.521788938902318e-05,0.3242766261100769,0.310791015625,20.29204818897415
long_duration_confirm,structural_n500000,6,500000,structural,-0.0002665017091203481,-0.00017369029228575528,9.281141683459282e-05,0.6981313228607178,0.487060546875,20.36551039299229
long_duration_confirm,structural_n500000,7,500000,structural,-0.00025941283092834055,-0.00019121059449389577,6.820223643444479e-05,0.33241569995880127,0.3319091796875,20.396419508033432
long_duration_confirm,structural_n500000,8,500000,structural,-0.00026223217719234526,-0.00020181167928967625,6.042049790266901e-05,0.3231164813041687,0.2999267578125,20.301429063023534
long_duration_confirm,structural_n500000,9,500000,structural,-0.00026219317805953324,-0.00020615015819203109,5.604301986750215e-05,0.3186701238155365,0.3057861328125,20.429616859997623
long_duration_confirm,structural_n500000,10,500000,structural,-0.0002691989648155868,-0.00019636019715107977,7.283876766450703e-05,0.3834499418735504,0.394287109375,20.37478099798318
long_duration_confirm,structural_n500000,11,500000,structural,-0.00026426458498463035,-0.00019893638091161847,6.532820407301188e-05,0.3469991087913513,0.2850341796875,20.401388743019197
long_duration_confirm,structural_n500000,12,500000,structural,-0.0002644306805450469,-0.00018456691759638488,7.986376294866204e-05,0.4620540738105774,0.4542236328125,20.352821358013898
long_duration_confirm,structural_n500000,13,500000,structural,-0.0002580232103355229,-0.000205143223865889,5.287998646963388e-05,0.3179995119571686,0.30859375,20.39019125996856
long_duration_confirm,structural_n500000,14,500000,structural,-0.00026159570552408695,-0.00019836392311844975,6.32317824056372e-05,0.3130132257938385,0.285400390625,20.270099211949855
long_duration_confirm,structural_n500000,15,500000,structural,-0.00027670228155329823,-0.00019093962328042835,8.576265827286988e-05,0.3909054398536682,0.3565673828125,20.50836075702682
long_duration_confirm,structural_n500000,16,500000,structural,-0.00026537387748248875,-0.00018438992265146226,8.09839548310265e-05,0.5504513382911682,0.4903564453125,20.30446503602434
long_duration_confirm,structural_n500000,17,500000,structural,-0.00024910378851927817,-0.00019362685270607471,5.5476935813203454e-05,0.47377264499664307,0.3175048828125,20.372926339972764
long_duration_confirm,structural_n500000,18,500000,structural,-0.00025129641289822757,-0.0002072690986096859,4.4027314288541675e-05,0.4260031580924988,0.276123046875,20.352677102957387
long_duration_confirm,structural_n500000,19,500000,structural,-0.0002593408862594515,-0.00016787742788437754,9.146345837507397e-05,0.773771345615387,0.537109375,20.3854966799845
long_duration_confirm,stdp_only_n500000,0,500000,stdp_only,-0.0002585904148872942,-0.0001938117202371359,6.477869465015829e-05,0.19036175310611725,0.4088134765625,11.970479034993332
long_duration_confirm,stdp_only_n500000,1,500000,stdp_only,-0.0002678088203538209,-0.00018797074153553694,7.983807881828398e-05,0.19987589120864868,0.401123046875,11.93630540597951
long_duration_confirm,stdp_only_n500000,2,500000,stdp_only,-0.0002715807349886745,-0.00018396048108115792,8.76202539075166e-05,0.35522282123565674,0.3956298828125,11.687440384994261
long_duration_confirm,stdp_only_n500000,3,500000,stdp_only,-0.0002791685692500323,-0.00019477689056657255,8.439167868345976e-05,0.21167010068893433,0.396728515625,11.901707321987487
long_duration_confirm,stdp_only_n500000,4,500000,stdp_only,-0.00026649280334822834,-0.00018509278015699238,8.140002319123596e-05,0.3442921042442322,0.4075927734375,12.014095671998803
long_duration_confirm,stdp_only_n500000,5,500000,stdp_only,-0.00027622285415418446,-0.00019185652490705252,8.436632924713194e-05,0.20636287331581116,0.40185546875,11.990837518998887
long_duration_confirm,stdp_only_n500000,6,500000,stdp_only,-0.0002665017091203481,-0.00019823541515506804,6.826629396528006e-05,0.2750968337059021,0.399169921875,11.617504016961902
long_duration_confirm,stdp_only_n500000,7,500000,stdp_only,-0.00025941283092834055,-0.0001820982142817229,7.731461664661765e-05,0.3218896985054016,0.3970947265625,11.736154559010174
long_duration_confirm,stdp_only_n500000,8,500000,stdp_only,-0.00026223217719234526,-0.00018442845612298697,7.780372106935829e-05,0.2579784393310547,0.404541015625,12.170638607
long_duration_confirm,stdp_only_n500000,9,500000,stdp_only,-0.00026219317805953324,-0.0001908141712192446,7.137900684028864e-05,0.19845420122146606,0.4058837890625,11.80330402799882
long_duration_confirm,stdp_only_n500000,10,500000,stdp_only,-0.0002691989648155868,-0.00018339778762310743,8.580117719247937e-05,0.25120627880096436,0.3985595703125,11.74702107795747
long_duration_confirm,stdp_only_n500000,11,500000,stdp_only,-0.00026426458498463035,-0.00019906912348233163,6.519546150229871e-05,0.30565202236175537,0.4010009765625,11.707598862005398
long_duration_confirm,stdp_only_n500000,12,500000,stdp_only,-0.0002644306805450469,-0.00018949550576508045,7.493517477996647e-05,0.228175550699234,0.39794921875,11.803811024001334
long_duration_confirm,stdp_only_n500000,13,500000,stdp_only,-0.0002580232103355229,-0.00019165679987054318,6.636641046497971e-05,0.26203489303588867,0.411865234375,12.07977228303207
long_duration_confirm,stdp_only_n500000,14,500000,stdp_only,-0.00026159570552408695,-0.00018288684077560902,7.870886474847794e-05,0.3830711841583252,0.4049072265625,12.105602837982588
long_duration_confirm,stdp_only_n500000,15,500000,stdp_only,-0.00027670228155329823,-0.00019195585628040135,8.474642527289689e-05,0.2963923513889313,0.3956298828125,11.714600090985186
long_duration_confirm,stdp_only_n500000,16,500000,stdp_only,-0.00026537387748248875,-0.00019061773491557688,7.475614256691188e-05,0.26523149013519287,0.40087890625,11.663063890009653
long_duration_confirm,stdp_only_n500000,17,500000,stdp_only,-0.00024910378851927817,-0.00018733613251242787,6.17676560068503e-05,0.25696009397506714,0.4024658203125,11.933951081009582
long_duration_confirm,stdp_only_n500000,18,500000,stdp_only,-0.00025129641289822757,-0.00018813987844623625,6.315653445199132e-05,0.25789496302604675,0.400634765625,11.91920059901895
long_duration_confirm,stdp_only_n500000,19,500000,stdp_only,-0.0002593408862594515,-0.00019791045633610338,6.143042992334813e-05,0.2796584367752075,0.4013671875,11.805564014008269
