block,config,seed,acq_prob,fit_before,fit_after,delta,v_mean,v_std,active_frac_end,cross_e_frac_end,wall_sec
acq_probability,acq_prob_1e-05,0,1e-05,-0.0002585904148872942,-0.0002197853464167565,3.880506847053766e-05,0.8383989334106445,0.3552807569503784,0.986572265625,0.4083251953125,4.601944225025363
acq_probability,acq_prob_1e-05,1,1e-05,-0.0002678088203538209,-0.00022561789955943823,4.219092079438269e-05,0.8556294441223145,0.3490626811981201,0.9876708984375,0.401123046875,4.5072645599721
acq_probability,acq_prob_1e-05,2,1e-05,-0.0002715807349886745,-0.00022654923668596894,4.5031498302705586e-05,0.8434845209121704,0.3513617515563965,0.986328125,0.395263671875,4.510889536992181
acq_probability,acq_prob_1e-05,3,1e-05,-0.0002791685692500323,-0.00023930042516440153,3.9868144085630774e-05,0.8595805168151855,0.33963197469711304,0.9896240234375,0.396728515625,4.535606734047178
acq_probability,acq_prob_1e-05,4,1e-05,-0.00026649280334822834,-0.00022227356384973973,4.4219239498488605e-05,0.8337991237640381,0.35800257325172424,0.981201171875,0.4072265625,4.636615213996265
acq_probability,acq_prob_3e-05,0,3e-05,-0.0002585904148872942,-0.0002176921407226473,4.0898274164646864e-05,0.8448644280433655,0.3523150086402893,0.98779296875,0.408447265625,4.49946695700055
acq_probability,acq_prob_3e-05,1,3e-05,-0.0002678088203538209,-0.0002240891772089526,4.3719643144868314e-05,0.8564537763595581,0.34980297088623047,0.9891357421875,0.4007568359375,4.460138592985459
acq_probability,acq_prob_3e-05,2,3e-05,-0.0002715807349886745,-0.0002286482194904238,4.293251549825072e-05,0.8390032052993774,0.35444262623786926,0.986083984375,0.394287109375,4.462844221969135
acq_probability,acq_prob_3e-05,3,3e-05,-0.0002791685692500323,-0.00024041930737439543,3.8749261875636876e-05,0.8584069013595581,0.3404121398925781,0.9915771484375,0.3961181640625,4.4567334949970245
acq_probability,acq_prob_3e-05,4,3e-05,-0.00026649280334822834,-0.0002218271984020248,4.466560494620353e-05,0.8404113054275513,0.3542758524417877,0.9847412109375,0.40673828125,4.455914736958221
