block,config,seed,acq_mode,pre_id_source,acq_initial_v,release_threshold,release_duration,fit_before,fit_after,delta,v_mean,v_std,active_frac_end,cross_e_frac_end,active_frac_min,valence_mean,wall_sec
step17_factorial,baseline_stdp_only,0,off,uniform,0.2,0.0,10000000,-0.0002585904148872942,-0.00022142042871564627,3.7169986171647906e-05,0.8480982184410095,0.35220909118652344,1.0,0.4088134765625,1.0,0.25679662823677063,22.966332617972512
step17_factorial,baseline_stdp_only,1,off,uniform,0.2,0.0,10000000,-0.0002678088203538209,-0.0002249852113891393,4.2823608964681625e-05,0.8566418886184692,0.34581127762794495,1.0,0.401123046875,1.0,0.24981315433979034,20.720131630951073
step17_factorial,baseline_stdp_only,2,off,uniform,0.2,0.0,10000000,-0.0002715807349886745,-0.00022628837905358523,4.529235593508929e-05,0.8403961658477783,0.359354168176651,1.0,0.3956298828125,1.0,0.251260906457901,7.3876260169781744
step17_factorial,baseline_stdp_only,3,off,uniform,0.2,0.0,10000000,-0.0002791685692500323,-0.00023673599935136735,4.243256989866495e-05,0.8589075207710266,0.3413301110267639,1.0,0.396728515625,1.0,0.23762723803520203,7.748247759998776
step17_factorial,baseline_stdp_only,4,off,uniform,0.2,0.0,10000000,-0.00026649280334822834,-0.00022329708735924214,4.3195715988986194e-05,0.8369919061660767,0.35716596245765686,1.0,0.4075927734375,1.0,0.25212615728378296,7.357332927000243
step17_factorial,baseline_release_only,0,off,uniform,0.2,0.05,500,-0.0002585904148872942,-0.00022008789528626949,3.850251960102469e-05,0.8395688533782959,0.355167955160141,0.98486328125,0.4088134765625,0.98486328125,0.2581123113632202,6.54726004198892
step17_factorial,baseline_release_only,1,off,uniform,0.2,0.05,500,-0.0002678088203538209,-0.00022592981986235827,4.187900049146265e-05,0.8550294637680054,0.3506321609020233,0.98681640625,0.401123046875,0.98681640625,0.25040096044540405,6.860801080998499
step17_factorial,baseline_release_only,2,off,uniform,0.2,0.05,500,-0.0002715807349886745,-0.00022665112919639796,4.492960579227656e-05,0.8433706760406494,0.3512669503688812,0.9854736328125,0.3956298828125,0.9854736328125,0.24904701113700867,7.403614244016353
step17_factorial,baseline_release_only,3,off,uniform,0.2,0.05,500,-0.0002791685692500323,-0.0002380993391852826,4.106923006474972e-05,0.8594868183135986,0.33984237909317017,0.9891357421875,0.396728515625,0.9891357421875,0.2366374433040619,7.7933812030241825
step17_factorial,baseline_release_only,4,off,uniform,0.2,0.05,500,-0.00026649280334822834,-0.00022180331870913506,4.468948463909328e-05,0.8395366072654724,0.3564964830875397,0.9808349609375,0.4075927734375,0.9808349609375,0.25328418612480164,7.297902282967698
step17_factorial,stochastic_uniform_iv0.2_thr0.05_dur200,0,stochastic,uniform,0.2,0.05,200,-0.0002585904148872942,-0.0002183264004997909,4.0264014387503266e-05,0.8446174263954163,0.34723854064941406,1.0,0.4061279296875,0.99658203125,0.25503823161125183,20.6220041650231
step17_factorial,stochastic_uniform_iv0.2_thr0.05_dur200,1,stochastic,uniform,0.2,0.05,200,-0.0002678088203538209,-0.00022854893177282065,3.925988858100027e-05,0.8600531816482544,0.3374377489089966,1.0,0.3990478515625,0.9967041015625,0.24892069399356842,15.04960944794584
step17_factorial,stochastic_uniform_iv0.2_thr0.05_dur200,2,stochastic,uniform,0.2,0.05,200,-0.0002715807349886745,-0.00022503032232634723,4.655041266232729e-05,0.8450922966003418,0.34401676058769226,1.0,0.3934326171875,0.9967041015625,0.25086450576782227,15.586232767032925
step17_factorial,stochastic_uniform_iv0.2_thr0.05_dur200,3,stochastic,uniform,0.2,0.05,200,-0.0002791685692500323,-0.00023565656738355756,4.351200186647475e-05,0.86014723777771,0.3360499143600464,1.0,0.3948974609375,0.9967041015625,0.23701828718185425,17.687788271985482
step17_factorial,stochastic_uniform_iv0.2_thr0.05_dur200,4,stochastic,uniform,0.2,0.05,200,-0.00026649280334822834,-0.00022277618700172752,4.3716616346500814e-05,0.8431820273399353,0.3521605134010315,1.0,0.40283203125,0.9954833984375,0.2542880177497864,15.282254268997349
step17_factorial,stochastic_uniform_iv0.2_thr0.05_dur1000,0,stochastic,uniform,0.2,0.05,1000,-0.0002585904148872942,-0.00021802163973916322,4.056877514813095e-05,0.8472049236297607,0.34855878353118896,0.9998779296875,0.406982421875,0.9962158203125,0.2571905255317688,14.658802560996264
step17_factorial,stochastic_uniform_iv0.2_thr0.05_dur1000,1,stochastic,uniform,0.2,0.05,1000,-0.0002678088203538209,-0.00022697709209751338,4.083172825630754e-05,0.8524481058120728,0.3453854024410248,1.0,0.3980712890625,0.9954833984375,0.2502140700817108,14.888145158009138
step17_factorial,stochastic_uniform_iv0.2_thr0.05_dur1000,2,stochastic,uniform,0.2,0.05,1000,-0.0002715807349886745,-0.0002234563435195014,4.812439146917313e-05,0.8445029258728027,0.3479984700679779,1.0,0.3922119140625,0.995849609375,0.2523795962333679,14.672721581009682
step17_factorial,stochastic_uniform_iv0.2_thr0.05_dur1000,3,stochastic,uniform,0.2,0.05,1000,-0.0002791685692500323,-0.0002370317670283839,4.2136802221648395e-05,0.8686345815658569,0.3335624635219574,0.999755859375,0.39453125,0.998046875,0.23637627065181732,13.538057136989664
step17_factorial,stochastic_uniform_iv0.2_thr0.05_dur1000,4,stochastic,uniform,0.2,0.05,1000,-0.00026649280334822834,-0.00022348231868818402,4.301048466004431e-05,0.8371404409408569,0.3493010401725769,1.0,0.4024658203125,0.9954833984375,0.2522474527359009,13.279136385011952
step17_factorial,stochastic_uniform_iv0.2_thr0.20_dur200,0,stochastic,uniform,0.2,0.2,200,-0.0002585904148872942,-0.00021718531206715852,4.140510282013565e-05,0.847782552242279,0.3414579927921295,0.99853515625,0.406005859375,0.9813232421875,0.2579643428325653,17.233015701989643
step17_factorial,stochastic_uniform_iv0.2_thr0.20_dur200,1,stochastic,uniform,0.2,0.2,200,-0.0002678088203538209,-0.0002268416283186525,4.096719203516841e-05,0.8532160520553589,0.3407193124294281,0.9981689453125,0.3963623046875,0.980712890625,0.25017049908638,13.909288144961465
step17_factorial,stochastic_uniform_iv0.2_thr0.20_dur200,2,stochastic,uniform,0.2,0.2,200,-0.0002715807349886745,-0.00022523090592585504,4.634982906281948e-05,0.8533424735069275,0.3414885103702545,0.999755859375,0.391845703125,0.9830322265625,0.2514154613018036,14.128472568001598
step17_factorial,stochastic_uniform_iv0.2_thr0.20_dur200,3,stochastic,uniform,0.2,0.2,200,-0.0002791685692500323,-0.00023400339705403894,4.5165172195993364e-05,0.854473888874054,0.339775025844574,0.9996337890625,0.3931884765625,0.9820556640625,0.23938238620758057,14.186388206027914
step17_factorial,stochastic_uniform_iv0.2_thr0.20_dur200,4,stochastic,uniform,0.2,0.2,200,-0.00026649280334822834,-0.0002227345248684287,4.375827847979963e-05,0.8474434614181519,0.3447742760181427,0.999267578125,0.4049072265625,0.977783203125,0.2534908652305603,14.425201119971462
step17_factorial,stochastic_uniform_iv0.2_thr0.20_dur1000,0,stochastic,uniform,0.2,0.2,1000,-0.0002585904148872942,-0.00022276554955169559,3.582486533559859e-05,0.8465973734855652,0.34474119544029236,0.997802734375,0.404541015625,0.9844970703125,0.25761324167251587,13.789775323006324
step17_factorial,stochastic_uniform_iv0.2_thr0.20_dur1000,1,stochastic,uniform,0.2,0.2,1000,-0.0002678088203538209,-0.0002251877449452877,4.2621075408533216e-05,0.8531001210212708,0.3406476676464081,1.0,0.396728515625,0.9840087890625,0.24820001423358917,13.89510970498668
step17_factorial,stochastic_uniform_iv0.2_thr0.20_dur1000,2,stochastic,uniform,0.2,0.2,1000,-0.0002715807349886745,-0.00022658809029962867,4.4992644689045846e-05,0.8446589112281799,0.34558942914009094,0.9990234375,0.39013671875,0.9818115234375,0.2520563006401062,13.084311062004417
step17_factorial,stochastic_uniform_iv0.2_thr0.20_dur1000,3,stochastic,uniform,0.2,0.2,1000,-0.0002791685692500323,-0.0002351481671212241,4.40204021288082e-05,0.8636554479598999,0.33079880475997925,0.9998779296875,0.39501953125,0.9888916015625,0.23618793487548828,13.972801315016113
step17_factorial,stochastic_uniform_iv0.2_thr0.20_dur1000,4,stochastic,uniform,0.2,0.2,1000,-0.00026649280334822834,-0.00022420610184781253,4.22867015004158e-05,0.8502711653709412,0.343726247549057,0.9990234375,0.4007568359375,0.9853515625,0.25224199891090393,13.03866028500488
step17_factorial,stochastic_uniform_iv1.0_thr0.05_dur200,0,stochastic,uniform,1.0,0.05,200,-0.0002585904148872942,-0.00022008809901308268,3.850231587421149e-05,0.855706512928009,0.337695449590683,0.9998779296875,0.406982421875,0.9967041015625,0.2556121051311493,17.693714087014087
step17_factorial,stochastic_uniform_iv1.0_thr0.05_dur200,1,stochastic,uniform,1.0,0.05,200,-0.0002678088203538209,-0.0002280451444676146,3.976367588620633e-05,0.864409327507019,0.34021538496017456,0.9998779296875,0.399658203125,0.995849609375,0.25023648142814636,13.15823017799994
step17_factorial,stochastic_uniform_iv1.0_thr0.05_dur200,2,stochastic,uniform,1.0,0.05,200,-0.0002715807349886745,-0.00022584979888051748,4.573093610815704e-05,0.858344316482544,0.3363284766674042,1.0,0.3934326171875,0.9967041015625,0.2511465847492218,13.204750541015528
step17_factorial,stochastic_uniform_iv1.0_thr0.05_dur200,3,stochastic,uniform,1.0,0.05,200,-0.0002791685692500323,-0.0002363894454902038,4.277912375982851e-05,0.8750536441802979,0.3287767171859741,1.0,0.3955078125,0.9981689453125,0.2362593710422516,13.229684830992483
step17_factorial,stochastic_uniform_iv1.0_thr0.05_dur200,4,stochastic,uniform,1.0,0.05,200,-0.00026649280334822834,-0.0002261453482788056,4.034745506942272e-05,0.8571792840957642,0.33516788482666016,1.0,0.40576171875,0.995849609375,0.250736266374588,13.75867658801144
step17_factorial,stochastic_uniform_iv1.0_thr0.05_dur1000,0,stochastic,uniform,1.0,0.05,1000,-0.0002585904148872942,-0.0002227040531579405,3.5886361729353666e-05,0.8565113544464111,0.3389820158481598,0.9998779296875,0.4063720703125,0.9959716796875,0.2576761543750763,13.553114890004508
step17_factorial,stochastic_uniform_iv1.0_thr0.05_dur1000,1,stochastic,uniform,1.0,0.05,1000,-0.0002678088203538209,-0.00023020620574243367,3.760261461138725e-05,0.8660045862197876,0.3361418843269348,1.0,0.3963623046875,0.99658203125,0.2496846616268158,13.305883508000989
step17_factorial,stochastic_uniform_iv1.0_thr0.05_dur1000,2,stochastic,uniform,1.0,0.05,1000,-0.0002715807349886745,-0.00023013872851151973,4.144200647715479e-05,0.8566485643386841,0.33940622210502625,0.9998779296875,0.3917236328125,0.99462890625,0.2497774064540863,13.156561714946292
step17_factorial,stochastic_uniform_iv1.0_thr0.05_dur1000,3,stochastic,uniform,1.0,0.05,1000,-0.0002791685692500323,-0.00023482173855882138,4.4346830691210926e-05,0.8689420223236084,0.3305710256099701,0.9998779296875,0.3941650390625,0.996826171875,0.23860575258731842,13.066818458028138
step17_factorial,stochastic_uniform_iv1.0_thr0.05_dur1000,4,stochastic,uniform,1.0,0.05,1000,-0.00026649280334822834,-0.00022558373166248202,4.090907168574631e-05,0.8579877614974976,0.3345393240451813,0.999755859375,0.4034423828125,0.9954833984375,0.25224998593330383,13.30253096902743
step17_factorial,stochastic_uniform_iv1.0_thr0.20_dur200,0,stochastic,uniform,1.0,0.2,200,-0.0002585904148872942,-0.0002252765407320112,3.3313874155282974e-05,0.8752421736717224,0.3197840750217438,1.0,0.40234375,0.99365234375,0.2538773715496063,13.180285030975938
step17_factorial,stochastic_uniform_iv1.0_thr0.20_dur200,1,stochastic,uniform,1.0,0.2,200,-0.0002678088203538209,-0.00022298168914858252,4.48271312052384e-05,0.8870736956596375,0.3230240046977997,1.0,0.3936767578125,0.992919921875,0.25091421604156494,13.157413784007076
step17_factorial,stochastic_uniform_iv1.0_thr0.20_dur200,2,stochastic,uniform,1.0,0.2,200,-0.0002715807349886745,-0.00023092863557394594,4.065209941472858e-05,0.874634861946106,0.31869348883628845,1.0,0.3912353515625,0.99365234375,0.24813354015350342,13.254721437988337
step17_factorial,stochastic_uniform_iv1.0_thr0.20_dur200,3,stochastic,uniform,1.0,0.2,200,-0.0002791685692500323,-0.0002389078726992011,4.02606965508312e-05,0.8870853781700134,0.3126125633716583,0.9998779296875,0.3946533203125,0.9954833984375,0.23491601645946503,13.185956455999985
step17_factorial,stochastic_uniform_iv1.0_thr0.20_dur200,4,stochastic,uniform,1.0,0.2,200,-0.00026649280334822834,-0.00022351111692842096,4.2981686419807374e-05,0.877419650554657,0.31762683391571045,1.0,0.3994140625,0.993408203125,0.2528950273990631,13.179730736999772
step17_factorial,stochastic_uniform_iv1.0_thr0.20_dur1000,0,stochastic,uniform,1.0,0.2,1000,-0.0002585904148872942,-0.00022145392722450197,3.7136487662792206e-05,0.8804748058319092,0.320275217294693,0.9998779296875,0.4039306640625,0.9915771484375,0.25724002718925476,13.407756823988166
step17_factorial,stochastic_uniform_iv1.0_thr0.20_dur1000,1,stochastic,uniform,1.0,0.2,1000,-0.0002678088203538209,-0.00022767989139538258,4.012892895843834e-05,0.8814476728439331,0.31924569606781006,0.9998779296875,0.3961181640625,0.99462890625,0.2480754405260086,13.271675563009921
step17_factorial,stochastic_uniform_iv1.0_thr0.20_dur1000,2,stochastic,uniform,1.0,0.2,1000,-0.0002715807349886745,-0.00022999562497716397,4.158511001151055e-05,0.8751221895217896,0.31844550371170044,0.9996337890625,0.3873291015625,0.9925537109375,0.25085532665252686,13.144146073027514
step17_factorial,stochastic_uniform_iv1.0_thr0.20_dur1000,3,stochastic,uniform,1.0,0.2,1000,-0.0002791685692500323,-0.00023827544646337628,4.089312278665602e-05,0.8824325203895569,0.3141968846321106,0.999755859375,0.394287109375,0.9951171875,0.2371995598077774,13.144628428970464
step17_factorial,stochastic_uniform_iv1.0_thr0.20_dur1000,4,stochastic,uniform,1.0,0.2,1000,-0.00026649280334822834,-0.00022442037879955024,4.20724245486781e-05,0.8774726390838623,0.3193867802619934,0.9996337890625,0.400634765625,0.9932861328125,0.25331658124923706,13.297562281950377
