block,config,seed,fit_before,fit_after,delta,v_mean,active_frac_end,cross_e_frac_end,wall_sec
best_config_confirm,confirm_baseline_stdp_only,0,-0.0002585904148872942,-0.00022142042871564627,3.7169986171647906e-05,0.8480982184410095,1.0,0.4088134765625,2.5125525619951077
best_config_confirm,confirm_baseline_stdp_only,1,-0.0002678088203538209,-0.0002249852113891393,4.2823608964681625e-05,0.8566418886184692,1.0,0.401123046875,2.5354671999812126
best_config_confirm,confirm_baseline_stdp_only,2,-0.0002715807349886745,-0.00022628837905358523,4.529235593508929e-05,0.8403961658477783,1.0,0.3956298828125,2.5455727680237032
best_config_confirm,confirm_baseline_stdp_only,3,-0.0002791685692500323,-0.00023673599935136735,4.243256989866495e-05,0.8589075207710266,1.0,0.396728515625,2.606241680972744
best_config_confirm,confirm_baseline_stdp_only,4,-0.00026649280334822834,-0.00022329708735924214,4.3195715988986194e-05,0.8369919061660767,1.0,0.4075927734375,2.544233087974135
best_config_confirm,confirm_baseline_stdp_only,5,-0.00027622285415418446,-0.00022974480816628784,4.647804598789662e-05,0.84186851978302,1.0,0.40185546875,2.674967013997957
best_config_confirm,confirm_baseline_stdp_only,6,-0.0002665017091203481,-0.0002278111787745729,3.869053034577519e-05,0.8505451679229736,1.0,0.399169921875,2.512731199967675
best_config_confirm,confirm_baseline_stdp_only,7,-0.00025941283092834055,-0.00021635231678374112,4.306051414459944e-05,0.8456908464431763,1.0,0.3970947265625,2.531937131017912
best_config_confirm,confirm_baseline_stdp_only,8,-0.00026223217719234526,-0.00022285313752945513,3.9379039662890136e-05,0.8495556116104126,1.0,0.404541015625,2.551323280960787
best_config_confirm,confirm_baseline_stdp_only,9,-0.00026219317805953324,-0.00022102602815721184,4.11671499023214e-05,0.84572434425354,1.0,0.4058837890625,2.5545546170324087
best_config_confirm,confirm_baseline_stdp_only,10,-0.0002691989648155868,-0.00022038932365830988,4.880964115727693e-05,0.8483753800392151,1.0,0.3985595703125,2.5160492139984854
best_config_confirm,confirm_baseline_stdp_only,11,-0.00026426458498463035,-0.00022497227473650128,3.929231024812907e-05,0.8375359773635864,1.0,0.4010009765625,2.5192839560331777
best_config_confirm,confirm_baseline_stdp_only,12,-0.0002644306805450469,-0.00022490977426059544,3.9520906284451485e-05,0.8494408130645752,1.0,0.39794921875,2.518080265028402
