block,config,seed,plasticity_rate,init_v_mean,acq_mode,pre_id_source,fit_before,fit_after,delta,v_mean,active_frac_end,cross_e_frac_end,wall_sec
strong_op_confirm,strong_baseline_stdp_only,0,3.0,1.8,off,uniform,-0.00029757060110569,-0.000187363286386244,0.000110207314719446,1.249082088470459,0.9256591796875,0.4088134765625,19.48472893901635
strong_op_confirm,strong_baseline_stdp_only,1,3.0,1.8,off,uniform,-0.00029898606589995325,-0.00019779943977482617,0.00010118662612512708,1.2947523593902588,0.953857421875,0.401123046875,6.798782958008815
strong_op_confirm,strong_baseline_stdp_only,2,3.0,1.8,off,uniform,-0.00032103469129651785,-0.00020245036284904927,0.00011858432844746858,1.2965424060821533,0.9600830078125,0.3956298828125,6.636819192965049
strong_op_confirm,strong_baseline_stdp_only,3,3.0,1.8,off,uniform,-0.0003228065907023847,-0.00022094964515417814,0.00010185694554820657,1.3646029233932495,0.9833984375,0.396728515625,6.571579442010261
strong_op_confirm,strong_baseline_stdp_only,4,3.0,1.8,off,uniform,-0.0003064005577471107,-0.00019407625950407237,0.00011232429824303836,1.2659223079681396,0.9390869140625,0.4075927734375,6.593187270977069
strong_op_confirm,strong_baseline_stdp_only,5,3.0,1.8,off,uniform,-0.00031794499955140054,-0.00020971603225916624,0.0001082289672922343,1.314993977546692,0.9649658203125,0.40185546875,6.784846255963203
strong_op_confirm,strong_baseline_stdp_only,6,3.0,1.8,off,uniform,-0.000305813824525103,-0.00019136631453875452,0.00011444750998634845,1.2701847553253174,0.9407958984375,0.399169921875,6.831629691994749
strong_op_confirm,strong_baseline_stdp_only,7,3.0,1.8,off,uniform,-0.0002951928472612053,-0.0001756381243467331,0.00011955472291447222,1.1936579942703247,0.869140625,0.3970947265625,6.991409165028017
strong_op_confirm,strong_baseline_stdp_only,8,3.0,1.8,off,uniform,-0.0003051480161957443,-0.00019696018716786057,0.00010818782902788371,1.2689344882965088,0.9490966796875,0.404541015625,7.326442208024673
strong_op_confirm,strong_baseline_stdp_only,9,3.0,1.8,off,uniform,-0.0002903715940192342,-0.00019017291197087616,0.00010019868204835802,1.231414556503296,0.927490234375,0.4058837890625,6.4617701069801114
strong_op_confirm,strong_baseline_stdp_only,10,3.0,1.8,off,uniform,-0.00031619975925423205,-0.00019532509031705558,0.00012087466893717647,1.2671884298324585,0.9459228515625,0.3985595703125,6.603729413996916
