[2026-05-05T00:26:00+00:00] block 12 fGn N=100 sweep: H=[0.3, 0.5, 0.7, 0.9], N=100 seeds, 2 conditions per (seed, H)
[2026-05-05T00:26:00+00:00] device: gpu / cuda:0
[2026-05-05T00:26:00+00:00] already complete: 0 / 800
[2026-05-05T00:26:17+00:00]   done seed=740 H=0.3 closed_loop track=-5.341e-06 pred=-5.834e-06 lag1=-0.204 wall=0.4s
[2026-05-05T00:26:18+00:00]   done seed=777 H=0.3 open_loop track=-8.264e-05 pred=-8.560e-05 lag1=-0.149 wall=0.3s
[2026-05-05T00:26:18+00:00]   done seed=777 H=0.3 closed_loop track=-4.478e-06 pred=-9.494e-06 lag1=-0.149 wall=0.4s
[2026-05-05T00:26:18+00:00]   done seed=814 H=0.3 open_loop track=-8.018e-05 pred=-8.210e-05 lag1=-0.369 wall=0.3s
[2026-05-05T00:26:19+00:00]   done seed=814 H=0.3 closed_loop track=-2.459e-06 pred=-7.812e-06 lag1=-0.369 wall=0.4s
[2026-05-05T00:26:19+00:00]   done seed=851 H=0.3 open_loop track=-7.999e-05 pred=-8.494e-05 lag1=0.003 wall=0.3s
[2026-05-05T00:26:19+00:00]   done seed=851 H=0.3 closed_loop track=-6.547e-06 pred=-7.242e-06 lag1=0.003 wall=0.4s
[2026-05-05T00:26:19+00:00]   done seed=888 H=0.3 open_loop track=-8.243e-05 pred=-8.702e-05 lag1=-0.211 wall=0.3s
[2026-05-05T00:26:20+00:00]   done seed=888 H=0.3 closed_loop track=-5.030e-06 pred=-1.107e-05 lag1=-0.211 wall=0.4s
[2026-05-05T00:26:20+00:00]   done seed=925 H=0.3 open_loop track=-8.044e-05 pred=-8.421e-05 lag1=-0.479 wall=0.3s
[2026-05-05T00:26:21+00:00]   done seed=925 H=0.3 closed_loop track=-7.911e-06 pred=-1.134e-05 lag1=-0.479 wall=0.4s
[2026-05-05T00:26:21+00:00]   done seed=962 H=0.3 open_loop track=-7.941e-05 pred=-8.448e-05 lag1=-0.165 wall=0.3s
[2026-05-05T00:26:21+00:00]   done seed=962 H=0.3 closed_loop track=-8.389e-06 pred=-6.136e-06 lag1=-0.165 wall=0.4s
[2026-05-05T00:26:21+00:00]   done seed=999 H=0.3 open_loop track=-7.930e-05 pred=-8.447e-05 lag1=-0.426 wall=0.3s
[2026-05-05T00:26:22+00:00]   done seed=999 H=0.3 closed_loop track=-2.081e-06 pred=-1.466e-05 lag1=-0.426 wall=0.4s
[2026-05-05T00:26:22+00:00]   done seed=1036 H=0.3 open_loop track=-8.496e-05 pred=-7.479e-05 lag1=0.003 wall=0.3s
[2026-05-05T00:26:23+00:00]   done seed=1036 H=0.3 closed_loop track=-1.309e-05 pred=-8.280e-06 lag1=0.003 wall=0.4s
[2026-05-05T00:26:23+00:00]   done seed=1073 H=0.3 open_loop track=-9.307e-05 pred=-9.797e-05 lag1=0.066 wall=0.3s
[2026-05-05T00:26:23+00:00]   done seed=1073 H=0.3 closed_loop track=-4.454e-06 pred=-1.439e-05 lag1=0.066 wall=0.4s
[2026-05-05T00:26:23+00:00]   done seed=1110 H=0.3 open_loop track=-8.021e-05 pred=-8.511e-05 lag1=0.040 wall=0.3s
[2026-05-05T00:26:24+00:00]   done seed=1110 H=0.3 closed_loop track=-4.518e-06 pred=-8.647e-06 lag1=0.040 wall=0.4s
[2026-05-05T00:26:24+00:00]   done seed=1147 H=0.3 open_loop track=-7.652e-05 pred=-7.974e-05 lag1=-0.150 wall=0.3s
[2026-05-05T00:26:24+00:00]   done seed=1147 H=0.3 closed_loop track=-9.613e-06 pred=-9.858e-06 lag1=-0.150 wall=0.4s
[2026-05-05T00:26:25+00:00]   done seed=1184 H=0.3 open_loop track=-8.718e-05 pred=-9.366e-05 lag1=-0.187 wall=0.3s
[2026-05-05T00:26:25+00:00]   done seed=1184 H=0.3 closed_loop track=-7.403e-07 pred=-1.337e-05 lag1=-0.187 wall=0.4s
[2026-05-05T00:26:25+00:00]   done seed=1221 H=0.3 open_loop track=-8.038e-05 pred=-8.577e-05 lag1=-0.147 wall=0.3s
[2026-05-05T00:26:26+00:00]   done seed=1221 H=0.3 closed_loop track=-4.626e-06 pred=-1.034e-05 lag1=-0.147 wall=0.4s
[2026-05-05T00:26:26+00:00]   done seed=1258 H=0.3 open_loop track=-7.690e-05 pred=-8.146e-05 lag1=0.032 wall=0.3s
[2026-05-05T00:26:26+00:00]   done seed=1258 H=0.3 closed_loop track=-5.242e-06 pred=-9.036e-06 lag1=0.032 wall=0.4s
[2026-05-05T00:26:27+00:00]   done seed=1295 H=0.3 open_loop track=-8.324e-05 pred=-8.642e-05 lag1=-0.053 wall=0.3s
[2026-05-05T00:26:27+00:00]   done seed=1295 H=0.3 closed_loop track=-5.698e-06 pred=-9.865e-06 lag1=-0.053 wall=0.4s
[2026-05-05T00:26:27+00:00]   done seed=1332 H=0.3 open_loop track=-8.357e-05 pred=-8.789e-05 lag1=0.008 wall=0.3s
[2026-05-05T00:26:28+00:00]   done seed=1332 H=0.3 closed_loop track=-8.208e-07 pred=-7.338e-06 lag1=0.008 wall=0.4s
[2026-05-05T00:26:28+00:00]   done seed=1369 H=0.3 open_loop track=-7.916e-05 pred=-9.352e-05 lag1=-0.070 wall=0.3s
[2026-05-05T00:26:28+00:00]   done seed=1369 H=0.3 closed_loop track=-5.127e-06 pred=-8.978e-06 lag1=-0.070 wall=0.4s
[2026-05-05T00:26:29+00:00]   done seed=1406 H=0.3 open_loop track=-8.173e-05 pred=-8.450e-05 lag1=-0.403 wall=0.3s
[2026-05-05T00:26:29+00:00]   done seed=1406 H=0.3 closed_loop track=-6.423e-06 pred=-6.136e-06 lag1=-0.403 wall=0.4s
[2026-05-05T00:26:29+00:00]   done seed=1443 H=0.3 open_loop track=-7.871e-05 pred=-7.997e-05 lag1=-0.437 wall=0.3s
[2026-05-05T00:26:30+00:00]   done seed=1443 H=0.3 closed_loop track=-3.233e-06 pred=-1.416e-05 lag1=-0.437 wall=0.4s
[2026-05-05T00:26:30+00:00]   done seed=1480 H=0.3 open_loop track=-8.415e-05 pred=-8.922e-05 lag1=-0.295 wall=0.3s
[2026-05-05T00:26:30+00:00]   done seed=1480 H=0.3 closed_loop track=-5.411e-06 pred=-1.173e-05 lag1=-0.295 wall=0.4s
[2026-05-05T00:26:31+00:00]   done seed=1517 H=0.3 open_loop track=-8.301e-05 pred=-8.625e-05 lag1=-0.122 wall=0.3s
[2026-05-05T00:26:31+00:00]   done seed=1517 H=0.3 closed_loop track=-8.614e-06 pred=-1.047e-05 lag1=-0.122 wall=0.4s
[2026-05-05T00:26:31+00:00]   done seed=1554 H=0.3 open_loop track=-8.160e-05 pred=-9.549e-05 lag1=-0.021 wall=0.3s
[2026-05-05T00:26:32+00:00]   done seed=1554 H=0.3 closed_loop track=-3.932e-06 pred=-8.560e-06 lag1=-0.021 wall=0.4s
[2026-05-05T00:26:32+00:00]   done seed=1591 H=0.3 open_loop track=-8.115e-05 pred=-8.512e-05 lag1=-0.130 wall=0.3s
[2026-05-05T00:26:32+00:00]   done seed=1591 H=0.3 closed_loop track=-5.400e-06 pred=-7.533e-06 lag1=-0.130 wall=0.4s
[2026-05-05T00:26:33+00:00]   done seed=1628 H=0.3 open_loop track=-7.963e-05 pred=-8.334e-05 lag1=-0.130 wall=0.3s
[2026-05-05T00:26:33+00:00]   done seed=1628 H=0.3 closed_loop track=-4.634e-06 pred=-6.465e-06 lag1=-0.130 wall=0.4s
[2026-05-05T00:26:33+00:00]   done seed=1665 H=0.3 open_loop track=-8.064e-05 pred=-8.467e-05 lag1=-0.041 wall=0.3s
[2026-05-05T00:26:34+00:00]   done seed=1665 H=0.3 closed_loop track=-8.100e-06 pred=-7.340e-06 lag1=-0.041 wall=0.4s
[2026-05-05T00:26:34+00:00]   done seed=1702 H=0.3 open_loop track=-7.988e-05 pred=-8.383e-05 lag1=-0.030 wall=0.3s
[2026-05-05T00:26:34+00:00]   done seed=1702 H=0.3 closed_loop track=-5.354e-06 pred=-1.334e-05 lag1=-0.030 wall=0.4s
[2026-05-05T00:26:34+00:00]   done seed=1739 H=0.3 open_loop track=-8.479e-05 pred=-8.925e-05 lag1=-0.096 wall=0.3s
[2026-05-05T00:26:35+00:00]   done seed=1739 H=0.3 closed_loop track=-3.054e-06 pred=-9.399e-06 lag1=-0.096 wall=0.4s
[2026-05-05T00:26:35+00:00]   done seed=1776 H=0.3 open_loop track=-8.267e-05 pred=-8.732e-05 lag1=-0.116 wall=0.3s
[2026-05-05T00:26:35+00:00]   done seed=1776 H=0.3 closed_loop track=-6.956e-06 pred=-6.103e-06 lag1=-0.116 wall=0.4s
[2026-05-05T00:26:36+00:00]   done seed=1813 H=0.3 open_loop track=-7.624e-05 pred=-8.138e-05 lag1=-0.536 wall=0.3s
[2026-05-05T00:26:36+00:00]   done seed=1813 H=0.3 closed_loop track=-4.384e-06 pred=-9.240e-06 lag1=-0.536 wall=0.4s
[2026-05-05T00:26:36+00:00]   done seed=1850 H=0.3 open_loop track=-8.431e-05 pred=-8.885e-05 lag1=-0.321 wall=0.3s
[2026-05-05T00:26:37+00:00]   done seed=1850 H=0.3 closed_loop track=-4.543e-06 pred=-7.929e-06 lag1=-0.321 wall=0.4s
[2026-05-05T00:26:37+00:00]   done seed=1887 H=0.3 open_loop track=-8.292e-05 pred=-8.723e-05 lag1=-0.448 wall=0.3s
[2026-05-05T00:26:37+00:00]   done seed=1887 H=0.3 closed_loop track=-6.834e-06 pred=-1.139e-05 lag1=-0.448 wall=0.4s
[2026-05-05T00:26:38+00:00]   done seed=1924 H=0.3 open_loop track=-8.430e-05 pred=-9.969e-05 lag1=0.170 wall=0.3s
[2026-05-05T00:26:38+00:00]   done seed=1924 H=0.3 closed_loop track=-1.252e-06 pred=-1.016e-05 lag1=0.170 wall=0.4s
[2026-05-05T00:26:38+00:00]   done seed=1961 H=0.3 open_loop track=-8.151e-05 pred=-8.567e-05 lag1=-0.600 wall=0.3s
[2026-05-05T00:26:39+00:00]   done seed=1961 H=0.3 closed_loop track=-8.794e-06 pred=-6.648e-06 lag1=-0.600 wall=0.4s
[2026-05-05T00:26:39+00:00]   done seed=1998 H=0.3 open_loop track=-8.235e-05 pred=-8.714e-05 lag1=-0.165 wall=0.4s
[2026-05-05T00:26:39+00:00]   done seed=1998 H=0.3 closed_loop track=-3.832e-06 pred=-9.879e-06 lag1=-0.165 wall=0.4s
[2026-05-05T00:26:40+00:00]   done seed=2035 H=0.3 open_loop track=-7.975e-05 pred=-8.433e-05 lag1=-0.202 wall=0.3s
[2026-05-05T00:26:40+00:00]   done seed=2035 H=0.3 closed_loop track=-2.058e-06 pred=-1.051e-05 lag1=-0.202 wall=0.4s
[2026-05-05T00:26:40+00:00]   done seed=2072 H=0.3 open_loop track=-7.913e-05 pred=-8.217e-05 lag1=-0.239 wall=0.3s
[2026-05-05T00:26:41+00:00]   done seed=2072 H=0.3 closed_loop track=-6.543e-06 pred=-8.616e-06 lag1=-0.239 wall=0.4s
[2026-05-05T00:26:41+00:00]   done seed=2109 H=0.3 open_loop track=-8.005e-05 pred=-8.478e-05 lag1=-0.366 wall=0.3s
[2026-05-05T00:26:41+00:00]   done seed=2109 H=0.3 closed_loop track=-4.829e-06 pred=-7.685e-06 lag1=-0.366 wall=0.4s
[2026-05-05T00:26:42+00:00]   done seed=2146 H=0.3 open_loop track=-8.482e-05 pred=-8.994e-05 lag1=-0.119 wall=0.3s
[2026-05-05T00:26:42+00:00]   done seed=2146 H=0.3 closed_loop track=-5.501e-06 pred=-9.129e-06 lag1=-0.119 wall=0.4s
[2026-05-05T00:26:42+00:00]   done seed=2183 H=0.3 open_loop track=-8.131e-05 pred=-8.636e-05 lag1=-0.003 wall=0.3s
[2026-05-05T00:26:43+00:00]   done seed=2183 H=0.3 closed_loop track=-3.179e-06 pred=-7.880e-06 lag1=-0.003 wall=0.4s
[2026-05-05T00:26:43+00:00]   done seed=2220 H=0.3 open_loop track=-8.689e-05 pred=-9.048e-05 lag1=-0.328 wall=0.3s
