block,config,seed,n_train_steps,fit_before,fit_after,delta,v_mean,cross_e_frac_end,wall_sec
stdp_regression_bisect,stdp_only_n100000,0,100000,-0.0002585904148872942,-0.0001688480406301096,8.974237425718457e-05,0.29691433906555176,0.4088134765625,11.33624127699295
stdp_regression_bisect,stdp_only_n100000,1,100000,-0.0002678088203538209,-0.0001740291918395087,9.377962851431221e-05,0.3119259774684906,0.401123046875,9.748818144958932
stdp_regression_bisect,stdp_only_n100000,2,100000,-0.0002715807349886745,-0.00017209183715749532,9.94888978311792e-05,0.3466378450393677,0.3956298828125,10.035975539998617
stdp_regression_bisect,stdp_only_n100000,3,100000,-0.0002791685692500323,-0.00017114625370595604,0.00010802231554407626,0.3120664060115814,0.396728515625,9.522439746011514
stdp_regression_bisect,stdp_only_n100000,4,100000,-0.00026649280334822834,-0.00017468990699853748,9.180289634969085e-05,0.2937590777873993,0.4075927734375,9.837590008042753
stdp_regression_bisect,stdp_only_n100000,5,100000,-0.00027622285415418446,-0.0001717639242997393,0.00010445892985444516,0.31617438793182373,0.40185546875,10.073281936987769
stdp_regression_bisect,stdp_only_n100000,6,100000,-0.0002665017091203481,-0.00018238530901726335,8.411640010308474e-05,0.30784207582473755,0.399169921875,9.567526702012401
stdp_regression_bisect,stdp_only_n100000,7,100000,-0.00025941283092834055,-0.00016942722140811384,8.998560952022672e-05,0.3003454804420471,0.3970947265625,9.702142129011918
stdp_regression_bisect,stdp_only_n100000,8,100000,-0.00026223217719234526,-0.0001669896737439558,9.524250344838947e-05,0.2941772937774658,0.404541015625,9.658572941028979
stdp_regression_bisect,stdp_only_n100000,9,100000,-0.00026219317805953324,-0.00017114817455876619,9.104500350076705e-05,0.2665075659751892,0.4058837890625,10.05437589698704
stdp_regression_bisect,stdp_only_n100000,10,100000,-0.0002691989648155868,-0.00016688351752236485,0.00010231544729322195,0.32220447063446045,0.3985595703125,10.174412861990277
stdp_regression_bisect,stdp_only_n100000,11,100000,-0.00026426458498463035,-0.00017655285773798823,8.771172724664211e-05,0.31921106576919556,0.4010009765625,9.909220225003082
stdp_regression_bisect,stdp_only_n100000,12,100000,-0.0002644306805450469,-0.00017309440590906888,9.133627463597804e-05,0.30281370878219604,0.39794921875,10.476183364982717
stdp_regression_bisect,stdp_only_n100000,13,100000,-0.0002580232103355229,-0.00017628050409257412,8.174270624294877e-05,0.3051620125770569,0.411865234375,8.980438198021147
stdp_regression_bisect,stdp_only_n100000,14,100000,-0.00026159570552408695,-0.00017295921861659735,8.86364869074896e-05,0.2886962890625,0.4049072265625,8.74789173901081
stdp_regression_bisect,stdp_only_n100000,15,100000,-0.00027670228155329823,-0.00017417110211681575,0.00010253117943648249,0.2944944500923157,0.3956298828125,9.527984602958895
