seed,t_steps,condition,fitness,wall_sec
2183,10000,open_loop,-1.581763e-04,0.38
2183,10000,gain=200,-3.668605e-05,0.51
2220,10000,open_loop,-1.565765e-04,0.38
2220,10000,gain=200,-3.668605e-05,0.45
2257,10000,open_loop,-1.554575e-04,0.38
2257,10000,gain=200,-3.668605e-05,0.45
2294,10000,open_loop,-1.562977e-04,0.38
2294,10000,gain=200,-3.668605e-05,0.45
2331,10000,open_loop,-1.566672e-04,0.38
2331,10000,gain=200,-3.668605e-05,0.44
2368,10000,open_loop,-1.565000e-04,0.38
2368,10000,gain=200,-3.668605e-05,0.44
2405,10000,open_loop,-1.557132e-04,0.38
2405,10000,gain=200,-3.668605e-05,0.44
2442,10000,open_loop,-1.570128e-04,0.38
2442,10000,gain=200,-3.668605e-05,0.45
2479,10000,open_loop,-1.564788e-04,0.38
2479,10000,gain=200,-3.668605e-05,0.44
2516,10000,open_loop,-1.557898e-04,0.38
2516,10000,gain=200,-3.668605e-05,0.45
2553,10000,open_loop,-1.561279e-04,0.38
2553,10000,gain=200,-3.668605e-05,0.44
2590,10000,open_loop,-1.564984e-04,0.38
2590,10000,gain=200,-3.668605e-05,0.44
2627,10000,open_loop,-1.563271e-04,0.38
2627,10000,gain=200,-3.668605e-05,0.44
2664,10000,open_loop,-1.567930e-04,0.38
2664,10000,gain=200,-3.668605e-05,0.44
2701,10000,open_loop,-1.560935e-04,0.38
2701,10000,gain=200,-3.668605e-05,0.45
2738,10000,open_loop,-1.576469e-04,0.38
2738,10000,gain=200,-3.668605e-05,0.44
2775,10000,open_loop,-1.576075e-04,0.38
2775,10000,gain=200,-3.668605e-05,0.44
2812,10000,open_loop,-1.570481e-04,0.38
2812,10000,gain=200,-3.668605e-05,0.44
2849,10000,open_loop,-1.587164e-04,0.38
2849,10000,gain=200,-3.668605e-05,0.45
2886,10000,open_loop,-1.570818e-04,0.38
2886,10000,gain=200,-3.668605e-05,0.45
2923,10000,open_loop,-1.557586e-04,0.38
2923,10000,gain=200,-3.668605e-05,0.53
2960,10000,open_loop,-1.586159e-04,0.38
2960,10000,gain=200,-3.668605e-05,0.44
2997,10000,open_loop,-1.578972e-04,0.38
2997,10000,gain=200,-3.668605e-05,0.44
3034,10000,open_loop,-1.559185e-04,0.38
3034,10000,gain=200,-3.668605e-05,0.44
3071,10000,open_loop,-1.568917e-04,0.38
3071,10000,gain=200,-3.668605e-05,0.44
3108,10000,open_loop,-1.563577e-04,0.38
3108,10000,gain=200,-3.668605e-05,0.45
3145,10000,open_loop,-1.562175e-04,0.39
3145,10000,gain=200,-3.668605e-05,0.45
3182,10000,open_loop,-1.568491e-04,0.38
3182,10000,gain=200,-3.668605e-05,0.45
3219,10000,open_loop,-1.574600e-04,0.39
3219,10000,gain=200,-3.668605e-05,0.45
3256,10000,open_loop,-1.567840e-04,0.38
3256,10000,gain=200,-3.668605e-05,0.45
3293,10000,open_loop,-1.578321e-04,0.38
3293,10000,gain=200,-3.668605e-05,0.45
3330,10000,open_loop,-1.582065e-04,0.38
3330,10000,gain=200,-3.668605e-05,0.45
3367,10000,open_loop,-1.563447e-04,0.38
3367,10000,gain=200,-3.668605e-05,0.45
3404,10000,open_loop,-1.569020e-04,0.38
3404,10000,gain=200,-3.668605e-05,0.45
3441,10000,open_loop,-1.564676e-04,0.38
3441,10000,gain=200,-3.668605e-05,0.44
3478,10000,open_loop,-1.565231e-04,0.38
3478,10000,gain=200,-3.668605e-05,0.45
3515,10000,open_loop,-1.579038e-04,0.38
3515,10000,gain=200,-3.668605e-05,0.45
3552,10000,open_loop,-1.579356e-04,0.38
3552,10000,gain=200,-3.668605e-05,0.45
3589,10000,open_loop,-1.572419e-04,0.38
3589,10000,gain=200,-3.668605e-05,0.45
3626,10000,open_loop,-1.563346e-04,0.38
3626,10000,gain=200,-3.668605e-05,0.45
3663,10000,open_loop,-1.578423e-04,0.38
3663,10000,gain=200,-3.668605e-05,0.45
3700,10000,open_loop,-1.552658e-04,0.39
3700,10000,gain=200,-3.668605e-05,0.45
3737,10000,open_loop,-1.561394e-04,0.39
3737,10000,gain=200,-3.668605e-05,0.45
3774,10000,open_loop,-1.572698e-04,0.39
3774,10000,gain=200,-3.668605e-05,0.45
3811,10000,open_loop,-1.586789e-04,0.39
3811,10000,gain=200,-3.668605e-05,0.54
3848,10000,open_loop,-1.555082e-04,0.39
3848,10000,gain=200,-3.668605e-05,0.45
3885,10000,open_loop,-1.576779e-04,0.38
3885,10000,gain=200,-3.668605e-05,0.44
3922,10000,open_loop,-1.560452e-04,0.38
3922,10000,gain=200,-3.668605e-05,0.45
3959,10000,open_loop,-1.575882e-04,0.39
3959,10000,gain=200,-3.668605e-05,0.45
3996,10000,open_loop,-1.557280e-04,0.38
3996,10000,gain=200,-3.668605e-05,0.45
4033,10000,open_loop,-1.559502e-04,0.40
4033,10000,gain=200,-3.668605e-05,0.45
4070,10000,open_loop,-1.569065e-04,0.39
4070,10000,gain=200,-3.668605e-05,0.45
4107,10000,open_loop,-1.575120e-04,0.39
4107,10000,gain=200,-3.668605e-05,0.45
4144,10000,open_loop,-1.566932e-04,0.38
4144,10000,gain=200,-3.668605e-05,0.45
4181,10000,open_loop,-1.567708e-04,0.38
4181,10000,gain=200,-3.668605e-05,0.44
4218,10000,open_loop,-1.570355e-04,0.38
4218,10000,gain=200,-3.668605e-05,0.45
4255,10000,open_loop,-1.566911e-04,0.38
4255,10000,gain=200,-3.668605e-05,0.44
4292,10000,open_loop,-1.566632e-04,0.38
4292,10000,gain=200,-3.668605e-05,0.45
4329,10000,open_loop,-1.573238e-04,0.38
4329,10000,gain=200,-3.668605e-05,0.45
4366,10000,open_loop,-1.562627e-04,0.39
4366,10000,gain=200,-3.668605e-05,0.45
4403,10000,open_loop,-1.571678e-04,0.38
4403,10000,gain=200,-3.668605e-05,0.44
4440,10000,open_loop,-1.555779e-04,0.38
4440,10000,gain=200,-3.668605e-05,0.44
4477,10000,open_loop,-1.566167e-04,0.38
4477,10000,gain=200,-3.668605e-05,0.44
4514,10000,open_loop,-1.578894e-04,0.38
4514,10000,gain=200,-3.668605e-05,0.44
4551,10000,open_loop,-1.563564e-04,0.39
4551,10000,gain=200,-3.668605e-05,0.44
4588,10000,open_loop,-1.554824e-04,0.38
4588,10000,gain=200,-3.668605e-05,0.44
4625,10000,open_loop,-1.564915e-04,0.38
4625,10000,gain=200,-3.668605e-05,0.44
4662,10000,open_loop,-1.552797e-04,0.38
4662,10000,gain=200,-3.668605e-05,0.45
4699,10000,open_loop,-1.577487e-04,0.38
4699,10000,gain=200,-3.668605e-05,0.44
4736,10000,open_loop,-1.564360e-04,0.39
4736,10000,gain=200,-3.668605e-05,0.45
4773,10000,open_loop,-1.556026e-04,0.38
4773,10000,gain=200,-3.668605e-05,0.44
4810,10000,open_loop,-1.554966e-04,0.38
4810,10000,gain=200,-3.668605e-05,0.45
4847,10000,open_loop,-1.566811e-04,0.38
4847,10000,gain=200,-3.668605e-05,0.45
4884,10000,open_loop,-1.548512e-04,0.51
4884,10000,gain=200,-3.668605e-05,0.45
4921,10000,open_loop,-1.557956e-04,0.38
4921,10000,gain=200,-3.668605e-05,0.44
4958,10000,open_loop,-1.557217e-04,0.38
4958,10000,gain=200,-3.668605e-05,0.44
4995,10000,open_loop,-1.571383e-04,0.39
4995,10000,gain=200,-3.668605e-05,0.48
5032,10000,open_loop,-1.571351e-04,0.39
5032,10000,gain=200,-3.668605e-05,0.45
5069,10000,open_loop,-1.555362e-04,0.38
5069,10000,gain=200,-3.668605e-05,0.46
5106,10000,open_loop,-1.573457e-04,0.38
5106,10000,gain=200,-3.668605e-05,0.45
5143,10000,open_loop,-1.552295e-04,0.39
5143,10000,gain=200,-3.668605e-05,0.45
5180,10000,open_loop,-1.571274e-04,0.40
5180,10000,gain=200,-3.668605e-05,0.45
5217,10000,open_loop,-1.585731e-04,0.41
5217,10000,gain=200,-3.668605e-05,0.45
5254,10000,open_loop,-1.570467e-04,0.38
5254,10000,gain=200,-3.668605e-05,0.45
5291,10000,open_loop,-1.558106e-04,0.39
5291,10000,gain=200,-3.668605e-05,0.46
5328,10000,open_loop,-1.563700e-04,0.39
5328,10000,gain=200,-3.668605e-05,0.45
5365,10000,open_loop,-1.572004e-04,0.38
5365,10000,gain=200,-3.668605e-05,0.46
5402,10000,open_loop,-1.578973e-04,0.38
5402,10000,gain=200,-3.668605e-05,0.45
5439,10000,open_loop,-1.572658e-04,0.38
5439,10000,gain=200,-3.668605e-05,0.45
