block,config,seed,plasticity_rate,init_v_mean,fit_before,fit_after,delta,v_mean,cross_e_frac_end,valence_mean,wall_sec
step16_multiseed,step16_rate0.01_ivm0.2,0,0.01,0.2,-0.00020128852338530123,-0.00020009941363241524,1.1891097528859973e-06,0.24219609797000885,0.4088134765625,0.3003695607185364,1.6325027529965155
step16_multiseed,step16_rate0.01_ivm0.2,1,0.01,0.2,-0.00020177439728286117,-0.00020047997531946748,1.2944219633936882e-06,0.24516227841377258,0.401123046875,0.30361711978912354,1.4637307159719057
step16_multiseed,step16_rate0.01_ivm0.2,2,0.01,0.2,-0.0001999306696234271,-0.0001997163926716894,2.142769517377019e-07,0.2411356419324875,0.3956298828125,0.30329325795173645,1.457862223032862
step16_multiseed,step16_rate0.01_ivm0.2,3,0.01,0.2,-0.0002038575621554628,-0.00020412891171872616,-2.713495632633567e-07,0.24474014341831207,0.396728515625,0.29804617166519165,1.4591681740130298
step16_multiseed,step16_rate0.01_ivm0.2,4,0.01,0.2,-0.00020037814101669937,-0.0002009599411394447,-5.818001227453351e-07,0.24323472380638123,0.4075927734375,0.29819726943969727,1.465518051001709
step16_multiseed,step16_rate0.01_ivm1.0,0,0.01,1.0,-0.0002585904148872942,-0.00026257781428284943,-3.987399395555258e-06,0.9958540797233582,0.4088134765625,0.23389838635921478,1.4731156550114974
step16_multiseed,step16_rate0.01_ivm1.0,1,0.01,1.0,-0.0002678088203538209,-0.0002679373137652874,-1.284934114664793e-07,1.000960111618042,0.401123046875,0.22676613926887512,1.458924172038678
step16_multiseed,step16_rate0.01_ivm1.0,2,0.01,1.0,-0.0002715807349886745,-0.0002700538607314229,1.5268742572516203e-06,0.9956644177436829,0.3956298828125,0.22764021158218384,1.4630903769866563
step16_multiseed,step16_rate0.01_ivm1.0,3,0.01,1.0,-0.0002791685692500323,-0.0002768083068076521,2.36026244238019e-06,1.0007234811782837,0.396728515625,0.21747137606143951,1.4813738989760168
step16_multiseed,step16_rate0.01_ivm1.0,4,0.01,1.0,-0.00026649280334822834,-0.00026877352502197027,-2.2807216737419367e-06,0.9978915452957153,0.4075927734375,0.23138326406478882,1.4740290050394833
step16_multiseed,step16_rate0.01_ivm1.8,0,0.01,1.8,-0.00029757060110569,-0.0002969448978547007,6.257032509893179e-07,1.7518683671951294,0.4088134765625,0.20723798871040344,1.4917080239974894
step16_multiseed,step16_rate0.01_ivm1.8,1,0.01,1.8,-0.00029898606589995325,-0.0002975183888338506,1.467677066102624e-06,1.7547885179519653,0.401123046875,0.19482719898223877,1.4662945450400002
step16_multiseed,step16_rate0.01_ivm1.8,2,0.01,1.8,-0.00032103469129651785,-0.0003195142198819667,1.5204714145511389e-06,1.7501544952392578,0.3956298828125,0.18862801790237427,1.4718527790391818
step16_multiseed,step16_rate0.01_ivm1.8,3,0.01,1.8,-0.0003228065907023847,-0.00032929456210695207,-6.487971404567361e-06,1.7549669742584229,0.396728515625,0.1786479949951172,1.4793196480022743
step16_multiseed,step16_rate0.01_ivm1.8,4,0.01,1.8,-0.0003064005577471107,-0.00030717765912413597,-7.771013770252466e-07,1.7535003423690796,0.4075927734375,0.19336827099323273,1.4788006420130841
step16_multiseed,step16_rate0.1_ivm0.2,0,0.1,0.2,-0.00020128852338530123,-0.00019974516180809587,1.54336157720536e-06,0.22986219823360443,0.4088134765625,0.3043518364429474,1.4736596000147983
step16_multiseed,step16_rate0.1_ivm0.2,1,0.1,0.2,-0.00020177439728286117,-0.00019851471006404608,3.2596872188150883e-06,0.23321843147277832,0.401123046875,0.3051677346229553,1.4823580179945566
step16_multiseed,step16_rate0.1_ivm0.2,2,0.1,0.2,-0.0001999306696234271,-0.0001976623316295445,2.2683379938825965e-06,0.22889208793640137,0.3956298828125,0.3059728741645813,1.4806190730305389
step16_multiseed,step16_rate0.1_ivm0.2,3,0.1,0.2,-0.0002038575621554628,-0.00020268601656425744,1.1715455912053585e-06,0.2322145402431488,0.396728515625,0.3004920482635498,1.4761484179762192
step16_multiseed,step16_rate0.1_ivm0.2,4,0.1,0.2,-0.00020037814101669937,-0.00020008634601254016,2.917950041592121e-07,0.2313598394393921,0.4075927734375,0.30104321241378784,1.4768379520392045
step16_multiseed,step16_rate0.1_ivm1.0,0,0.1,1.0,-0.0002585904148872942,-0.000258262938586995,3.2747630029916763e-07,0.9832310676574707,0.4088134765625,0.2368939369916916,1.572673709015362
step16_multiseed,step16_rate0.1_ivm1.0,1,0.1,1.0,-0.0002678088203538209,-0.00026485093985684216,2.9578804969787598e-06,0.9882015585899353,0.401123046875,0.22896581888198853,1.4841711060144007
step16_multiseed,step16_rate0.1_ivm1.0,2,0.1,1.0,-0.0002715807349886745,-0.00026562277344055474,5.957961548119783e-06,0.982982873916626,0.3956298828125,0.23019620776176453,1.4678473839885555
step16_multiseed,step16_rate0.1_ivm1.0,3,0.1,1.0,-0.0002791685692500323,-0.0002739918709266931,5.176698323339224e-06,0.9885506629943848,0.396728515625,0.2212735265493393,1.46798542101169
step16_multiseed,step16_rate0.1_ivm1.0,4,0.1,1.0,-0.00026649280334822834,-0.00026454345788806677,1.9493454601615667e-06,0.9848713278770447,0.4075927734375,0.22903192043304443,1.4683882019598968
step16_multiseed,step16_rate0.1_ivm1.8,0,0.1,1.8,-0.00029757060110569,-0.0002952224458567798,2.3481552489101887e-06,1.740315318107605,0.4088134765625,0.20373857021331787,1.4678805150324479
step16_multiseed,step16_rate0.1_ivm1.8,1,0.1,1.8,-0.00029898606589995325,-0.0003018425777554512,-2.8565118554979563e-06,1.7435407638549805,0.401123046875,0.19572187960147858,1.4745751750306226
